index,axis-0,axis-1,axis-2
0.0,61.18554717003967,62.39614123179384,39.880581463578814
1.0,49.54460241183273,52.78076060888973,41.134411626998784
2.0,36.113852576410785,43.12791523490983,46.26241078413746
3.0,28.554163922104628,38.31731742623539,55.22613547797273
4.0,23.680644153465067,37.02461045291882,65.48267988515806
5.0,20.663055368735854,40.288376783706624,80.23353966156185
6.0,20.73987119253747,43.604819016397045,87.92608766026225
7.0,25.023124907254598,48.44939324066708,98.5173876298265
8.0,28.694651756864154,58.09937173935913,103.52744025966207
9.0,35.00445050933892,62.770361567970426,106.64864198343813
